"","participant","session","expName","psychopyVersion","block_num","trial_num","corr","resp","rt","task","magnitude","num_big","has_neg","block_type","stim_name","stim_spec","enc_stimname","corr_key","encret_corr"
"73","6",1,"RetGoals_V1","2022.2.4",9,2,1,2,0.372133841000448,"Retrieval",NA,NA,NA,"10","1_121.jpg","fruit","Encod_Stim.121.jpeg",2,NA
"74","6",1,"RetGoals_V1","2022.2.4",9,2,1,2,1.39271403000015,"Encoding",NA,NA,NA,"10","Encod_Stim.079.jpeg","building","",2,1
"75","6",1,"RetGoals_V1","2022.2.4",9,2,1,2,0.452991782999504,"External",2,8,NA,"10","ExAttn_Stim.079.jpeg","triangles","",2,NA
"76","6",1,"RetGoals_V1","2022.2.4",9,2,1,2,0.568566597999904,"Internal",3,NA,0,"10","InternTask.079.jpeg","addsub","",2,NA
"77","6",1,"RetGoals_V1","2022.2.4",10,2,0,4,0.289509347000546,"Retrieval",NA,NA,NA,"10","1_235.jpg","building","Encod_Stim.235.jpeg",3,NA
"78","6",1,"RetGoals_V1","2022.2.4",10,2,0,NA,NA,"Encoding",NA,NA,NA,"10","Encod_Stim.034.jpeg","vehicle","",2,1
"79","6",1,"RetGoals_V1","2022.2.4",10,2,0,3,1.21380252100056,"External",2,7,NA,"10","ExAttn_Stim.034.jpeg","circles","",4,NA
"80","6",1,"RetGoals_V1","2022.2.4",10,2,1,4,0.407001573999821,"Internal",10,NA,0,"10","InternTask.034.jpeg","addadd","",4,NA
"81","6",1,"RetGoals_V1","2022.2.4",1,3,1,2,1.4512972469999,"Retrieval",NA,NA,NA,"40","1_204.jpg","fruit","Encod_Stim.204.jpeg",2,NA
"82","6",1,"RetGoals_V1","2022.2.4",1,3,0,2,0.63578934800006,"Encoding",NA,NA,NA,"40","Encod_Stim.154.jpeg","vehicle","",4,0
"83","6",1,"RetGoals_V1","2022.2.4",1,3,0,2,0.379169228000023,"External",2,7,NA,"40","ExAttn_Stim.154.jpeg","squares","",4,NA
"84","6",1,"RetGoals_V1","2022.2.4",1,3,1,2,0.963058492000016,"Internal",1,NA,0,"40","InternTask.154.jpeg","subadd","",2,NA
"85","6",1,"RetGoals_V1","2022.2.4",2,3,0,4,0.55078414899998,"Retrieval",NA,NA,NA,"40","1_33.jpg","vehicle","Encod_Stim.033.jpeg",3,NA
"86","6",1,"RetGoals_V1","2022.2.4",2,3,1,4,0.605052622000073,"Encoding",NA,NA,NA,"40","Encod_Stim.102.jpeg","fruit","",4,1
"87","6",1,"RetGoals_V1","2022.2.4",2,3,0,4,0.833948218000103,"External",0,5,NA,"40","ExAttn_Stim.102.jpeg","triangles","",3,NA
"88","6",1,"RetGoals_V1","2022.2.4",2,3,1,4,0.597033883999927,"Internal",2,NA,0,"40","InternTask.102.jpeg","addsub","",4,NA
"89","6",1,"RetGoals_V1","2022.2.4",3,3,1,4,0.351906363000069,"Retrieval",NA,NA,NA,"40","1_191.jpg","building","Encod_Stim.191.jpeg",4,NA
"90","6",1,"RetGoals_V1","2022.2.4",3,3,1,4,0.404196696999804,"Encoding",NA,NA,NA,"40","Encod_Stim.179.jpeg","building","",4,1
"91","6",1,"RetGoals_V1","2022.2.4",3,3,0,2,0.287701757999855,"External",0,8,NA,"40","ExAttn_Stim.179.jpeg","squares","",3,NA
"92","6",1,"RetGoals_V1","2022.2.4",3,3,1,4,0.334312234000151,"Internal",13,NA,1,"40","InternTask.179.jpeg","subadd","",4,NA
"93","6",1,"RetGoals_V1","2022.2.4",4,3,1,3,0.579343284000004,"Retrieval",NA,NA,NA,"40","1_165.jpg","vehicle","Encod_Stim.165.jpeg",3,NA
"94","6",1,"RetGoals_V1","2022.2.4",4,3,1,2,0.896402984000304,"Encoding",NA,NA,NA,"40","Encod_Stim.062.jpeg","vehicle","",2,1
"95","6",1,"RetGoals_V1","2022.2.4",4,3,1,2,0.425292880000086,"External",1,6,NA,"40","ExAttn_Stim.062.jpeg","triangles","",2,NA
"96","6",1,"RetGoals_V1","2022.2.4",4,3,1,3,1.31181053099994,"Internal",0,NA,0,"40","InternTask.062.jpeg","addadd","",3,NA
"97","6",1,"RetGoals_V1","2022.2.4",5,3,1,4,0.333322127999907,"Retrieval",NA,NA,NA,"40","1_193.jpg","building","Encod_Stim.193.jpeg",4,NA
"98","6",1,"RetGoals_V1","2022.2.4",5,3,1,3,1.13412572500005,"Encoding",NA,NA,NA,"40","Encod_Stim.278.jpeg","vehicle","",3,0
"99","6",1,"RetGoals_V1","2022.2.4",5,3,1,4,0.335201266000183,"External",2,8,NA,"40","ExAttn_Stim.278.jpeg","diamonds","",4,NA
"100","6",1,"RetGoals_V1","2022.2.4",5,3,0,2,1.46087755000002,"Internal",0,NA,0,"40","InternTask.278.jpeg","subsub","",3,NA
"101","6",1,"RetGoals_V1","2022.2.4",6,3,0,3,0.414152413999943,"Retrieval",NA,NA,NA,"10","1_300.jpg","vehicle","Encod_Stim.300.jpeg",4,NA
"102","6",1,"RetGoals_V1","2022.2.4",6,3,1,4,0.356792520999932,"Encoding",NA,NA,NA,"10","Encod_Stim.141.jpeg","vehicle","",4,1
"103","6",1,"RetGoals_V1","2022.2.4",6,3,0,3,0.648535127999764,"External",1,6,NA,"10","ExAttn_Stim.141.jpeg","squares","",4,NA
"104","6",1,"RetGoals_V1","2022.2.4",6,3,1,3,0.285293575000139,"Internal",0,NA,0,"10","InternTask.141.jpeg","addsub","",3,NA
"105","6",1,"RetGoals_V1","2022.2.4",7,3,0,1,1.06638758699995,"Retrieval",NA,NA,NA,"10","1_94.jpg","building","Encod_Stim.094.jpeg",4,NA
"106","6",1,"RetGoals_V1","2022.2.4",7,3,0,1,0.411593761999882,"Encoding",NA,NA,NA,"10","Encod_Stim.129.jpeg","fruit","",4,0
"107","6",1,"RetGoals_V1","2022.2.4",7,3,1,2,0.0453298030001292,"External",1,8,NA,"10","ExAttn_Stim.129.jpeg","squares","",2,NA
"108","6",1,"RetGoals_V1","2022.2.4",7,3,1,3,0.245385754999859,"Internal",0,NA,0,"10","InternTask.129.jpeg","addsub","",3,NA
"109","6",1,"RetGoals_V1","2022.2.4",8,3,0,3,0.59030185899968,"Retrieval",NA,NA,NA,"10","1_21.jpg","fruit","Encod_Stim.021.jpeg",2,NA
"110","6",1,"RetGoals_V1","2022.2.4",8,3,1,3,0.518654164999987,"Encoding",NA,NA,NA,"10","Encod_Stim.288.jpeg","vehicle","",3,0
"111","6",1,"RetGoals_V1","2022.2.4",8,3,1,3,0.311207145999958,"External",0,6,NA,"10","ExAttn_Stim.288.jpeg","diamonds","",3,NA
